Question Text (English),Option A,Option B,Option C,Option D,,Explanation (English),DOPD Operation Weight (%),DOPD Discipline Weight (%),DOPD Professionalism Weight (%),Malay Question Text,Malay Option A,Malay Option B,Malay Option C,Malay Option D,Malay Explanation,Batch
"While driving at the posted speed, you see motorcycles filtering between lanes and uneven braking ahead.",Maintain speed and brake if traffic slows suddenly,Reduce speed early and increase following distance,Change lanes to avoid slower traffic ahead,Maintain speed and focus on the vehicle ahead,B,Reduce speed early to create time and space for sudden road changes.,0.75,0.25,,Anda memandu pada kelajuan dibenarkan. Motosikal bergerak di antara lorong dan brek tidak sekata berlaku di hadapan.,Kekalkan kelajuan dan brek jika trafik perlahan secara tiba-tiba,Kurangkan kelajuan lebih awal dan tambah jarak kenderaan,Tukar lorong untuk mengelakkan trafik perlahan,Kekalkan kelajuan dan fokus pada kenderaan di hadapan,Kurangkan kelajuan lebih awal untuk memberi masa dan ruang apabila keadaan jalan berubah.,1
You merge from a slip road onto a busy highway. Vehicles ahead brake unevenly and motorcycles pass between lanes.,Wait for a clearly safe gap before merging,Merge and adjust speed once on the highway,Use the gap quickly before traffic closes,Move forward to signal intent and merge when traffic slows,A,Choose a safe gap to avoid sudden braking and conflict during merging.,1,,,Anda memasuki lebuh raya dari laluan masuk. Kenderaan di hadapan membrek tidak sekata dan motosikal bergerak di antara lorong.,Tunggu jarak/ruang yang benar-benar selamat sebelum masuk,Masuk dahulu dan ubah kelajuan di lebuh raya,Gunakan ruang dengan cepat sebelum trafik menjadi padat/sesak,Bergerak ke hadapan untuk beri isyarat niat dan masuk apabila trafik perlahan,Pilih jarak yang selamat untuk mengelakkan brek mengejut dan konflik semasa masuk ke lebuh raya.,1
"You need to reverse into a marked bay inside a site. Space is tight, visibility is limited, and vehicles move nearby.",Stop and reverse only when visibility and clearance are confirmed,Reverse slowly while checking mirrors and adjusting position,Continue reversing to avoid delaying vehicles behind,Reverse carefully and rely on others to keep clear,A,Confirm visibility and clearance before reversing in confined areas.,0.75,0.25,,"Anda perlu mengundur ke petak bertanda di dalam tapak. Ruang sempit, pandangan terhad, dan kenderaan bergerak berhampiran.",Berhenti dan undur hanya apabila pandangan dan ruang selamat dipastikan,Undur perlahan sambil periksa cermin dan sesuaikan kedudukan,Terus undur untuk elakkan melambatkan kenderaan di belakang,Undur dengan berhati-hati dan harap orang lain menjauh,Pastikan pandangan dan ruang selamat sebelum mengundur di kawasan sempit.,1
You approach a terminal gate where vehicles queue across multiple lanes.,Remain in the assigned lane and follow the gate process,Shift to a faster lane when another vehicle is processed,Move forward gradually as space opens ahead,Follow the vehicle ahead through the gate,A,Remain in your lane and follow gate instructions to keep entry orderly.,0.75,0.25,,Anda menghampiri pintu masuk terminal. Kenderaan beratur di beberapa lorong.,Kekal di lorong yang ditetapkan dan ikut proses di pintu masuk,Tukar ke lorong lebih laju apabila kenderaan lain sedang diproses,Bergerak ke hadapan secara beransur-ansur apabila ruang terbuka,Ikut kenderaan di hadapan melalui pintu masuk,Kekalkan lorong dan patuhi arahan pintu masuk untuk memastikan kemasukan teratur.,1
"Inside a site yard, a marshal instructs you to hold while vehicles reposition nearby.",Hold position and continue checking mirrors and blind spots,Signal and edge forward slightly to prepare to move,Adjust position gradually while watching the marshal,Follow nearby vehicles once they begin moving,A,Follow marshal instructions while maintaining situational awareness.,0.5,0.5,,"Di kawasan tapak, seorang marshal mengarahkan anda supaya berhenti sementara kenderaan berhampiran sedang mengubah kedudukan.",Kekal berhenti dan terus periksa cermin serta titik buta,Beri isyarat dan bergerak sedikit ke hadapan sebagai persediaan bergerak,Sesuaikan kedudukan secara beransur sambil memerhati marshal,Ikut pergerakan kenderaan berhampiran apabila ia mula bergerak,Patuhi arahan marshal sambil kekalkan kesedaran persekitaran.,1
You queue to mount a container onto your trailer. The vehicle ahead is still aligning and the area is congested.,Maintain spacing and wait until the mounting area is clear,Move closer to prepare once the vehicle ahead finishes,Close the gap slowly to reduce waiting time,Follow ground staff signals to approach closely,A,Maintain spacing during container mounting operations.,,0.5,0.5,Anda beratur untuk loading/offloading kontena ke atas treler. Kenderaan di hadapan masih melaras kedudukan dan kawasan sesak.,Kekalkan jarak dan tunggu sehingga kawasan loading/offloading kosong,Bergerak lebih dekat untuk bersedia apabila kenderaan di hadapan selesai,Rapatkan jarak perlahan untuk kurangkan masa menunggu,Ikut isyarat pekerja tapak untuk menghampiri sedekat mungkin,Kekalkan jarak semasa operasi loading/offloading kontena.,1
You approach a terminal gate where entry requires credential verification. One credential is no longer valid.,Stop the entry process and report the issue,Proceed with entry and resolve the issue inside,Wait to see if the gate allows access,Continue toward the gate since the trip is scheduled,A,Valid credentials are required before terminal entry.,0.25,0.75,,Anda menghampiri pintu masuk terminal yang memerlukan pengesahan pas akses. Satu akses tidak lagi sah.,Hentikan proses masuk dan laporkan masalah tersebut,Teruskan masuk dan selesaikan isu di dalam terminal,Tunggu untuk melihat sama ada pintu membenarkan masuk,Terus menuju ke pintu masuk kerana perjalanan telah dijadualkan,Dokumen akses yang sah diperlukan sebelum memasuki terminal.,1
"At a checkpoint, you are asked to present documents and notice the delivery time was recorded inaccurately.",Present the document and clarify the timing if asked,Hand over the document without mentioning the timing,Explain verbally that the details are correct,Ask for time to update the document before presenting it,A,Accurate documents and cooperation support smooth inspections.,0.25,0.75,,"Di tempat pemeriksaan, anda diminta menunjukkan dokumen dan menyedari masa penghantaran direkod tidak tepat.",Serahkan dokumen dan jelaskan masa jika ditanya,Serahkan dokumen tanpa menyebut tentang masa,Jelaskan secara lisan bahawa butiran adalah betul,Minta masa untuk mengemas kini dokumen sebelum menyerahkannya,Dokumen yang tepat dan kerjasama membantu pemeriksaan berjalan lancar.,1
"While driving, the engine feels strained during acceleration though no warning lights appear.",Ease acceleration and monitor the condition,Maintain normal acceleration since no lights show,Increase engine output to test the response,Continue driving and act only if it worsens,A,Respond early to unusual vehicle performance.,0.75,0.25,,"Semasa memandu, enjin terasa kurang responsive semasa memecut walaupun tiada lampu amaran menyala.",Kurangkan pecutan dan pantau keadaan,Kekalkan pecutan kerana tiada lampu amaran,Tingkatkan kuasa enjin untuk menguji tindak balas,Terus memandu dan bertindak hanya jika keadaan bertambah teruk,Bertindak awal apabila prestasi kenderaan tidak biasa.,1
"During pre-trip inspection, you discover a brake defect before departure.",Proceed carefully and monitor the defect during the journey,Delay reporting until after completing the delivery,Report the defect immediately and follow required procedures,Ignore the defect to avoid operational delays,C,Defects must be reported before departure to ensure safety and integrity.,0.25,0.5,0.25,"Semasa pemeriksaan pra-perjalanan, anda menemui masalah pada brek sebelum berlepas.",Teruskan dengan berhati-hati dan pantau masalah sepanjang perjalanan,Tangguhkan laporan sehingga penghantaran selesai,Laporkan masalah segera dan ikut prosedur yang ditetapkan,Abaikan masalah untuk elakkan kelewatan operasi,Masalah mesti dilaporkan sebelum berlepas untuk memastikan keselamatan dan integriti.,1
"While waiting in an active loading zone, you notice cargo movement that may affect load stability.",Remain in position and allow loading to continue,Stop the process and alert site staff to address the cargo risk,Move the vehicle slightly to reduce exposure,Monitor the situation and proceed once loading appears stable,B,Address cargo instability promptly to prevent incidents in loading areas.,0.5,0.5,,"Semasa menunggu di zon pemuatan aktif, anda melihat pergerakan muatan yang boleh menjejaskan kestabilan muatan.",Kekal di tempat dan biarkan proses pemuatan diteruskan,Hentikan proses dan maklumkan kakitangan tapak tentang risiko muatan,Gerakkan kenderaan sedikit untuk mengurangkan pendedahan,Pantau keadaan dan teruskan apabila pemuatan kelihatan stabil,Tangani ketidakstabilan muatan dengan segera untuk mengelakkan insiden di kawasan pemuatan.,1
